"Symbol","Name","Sector","Industry","PE_Ratio","PEG_Ratio","Price_to_Book","Price_to_Sales","EV_to_EBITDA","EV_to_Revenue","Profit_Margin","Operating_Margin","Return_on_Assets","Return_on_Equity","Revenue_Growth_YOY","EPS_Growth_YOY","Current_Ratio","Debt_to_Equity","Interest_Coverage","Dividend_Yield","Dividend_Per_Share","Dividend_Payout_Ratio","Beta","Fifty_Two_Week_High","Fifty_Two_Week_Low","Market_Cap","EBITDA","Revenue_TTM"
"AAPL","Apple Inc","TECHNOLOGY","ELECTRONIC COMPUTERS",33.34,2.01,48.83,7.96,24.04,8.34,0.243,0.345,0.225,1.365,0.04,0.101,NA,NA,NA,0.0046,0.99,NA,1.178,259.81,163.31,3.14983e+12,1.37352e+11,3.9576e+11
"MSFT","Microsoft Corporation","TECHNOLOGY","SERVICES-PREPACKAGED SOFTWARE",30.5,1.747,9.41,10.76,19.87,10.85,0.354,0.455,0.146,0.343,0.123,0.102,NA,NA,NA,0.0087,3.16,NA,0.914,465.64,376.91,2.81577e+12,1.42041e+11,2.61802e+11
"GOOGL","Alphabet Inc Class A","TECHNOLOGY","SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",20.24,1.209,6.27,5.7,14.6,5.65,0.286,0.34,0.167,0.329,0.118,0.309,NA,NA,NA,0.0048,0.8,NA,1.025,206.81,145.38,1.99417e+12,1.29497e+11,3.50018e+11
"AMZN","Amazon.com Inc","TRADE & SERVICES","RETAIL-CATALOG & MAIL-ORDER HOUSES",35.06,1.677,7.37,3.221,17.26,3.35,0.0929,0.113,0.0744,0.243,0.105,0.846,NA,NA,NA,NA,NA,NA,1.192,242.52,151.61,2.05479e+12,1.20468e+11,6.37959e+11
"META","Meta Platforms Inc.","TECHNOLOGY","SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",24.76,1.185,8.19,9.1,16.89,8.92,0.379,0.453,0.169,0.371,0.206,0.514,NA,NA,NA,0.0034,2,NA,1.231,740.25,412.99,1.49648e+12,83716997000,1.64501e+11
"MMM","3M Company","LIFE SCIENCES","SURGICAL & MEDICAL INSTRUMENTS & APPARATUS",20.72,2.716,21.25,3.323,11.88,3.564,0.17,0.177,0.0593,0.918,0.001,-0.217,NA,NA,NA,0.02,3.61,NA,1.017,156.35,83.71,81657586000,5.47e+09,24575001000
"AOS","Smith AO Corporation","MANUFACTURING","HOUSEHOLD APPLIANCES",18.42,1.673,5.09,2.513,12.12,2.498,0.14,0.152,0.135,0.286,-0.077,-0.181,NA,NA,NA,0.0208,1.3,NA,1.177,91.22,64.55,9594913000,777500000,3818100000
"ABT","Abbott Laboratories","LIFE SCIENCES","PHARMACEUTICAL PREPARATIONS",16.59,2.278,4.611,5.24,21.02,5.41,0.32,0.186,0.0606,0.309,0.072,4.794,NA,NA,NA,0.0182,2.24,NA,0.693,141.23,98.72,2.19756e+11,1.0714e+10,41949999000
"ABBV","AbbVie Inc","LIFE SCIENCES","PHARMACEUTICAL PREPARATIONS",88.61,0.443,112.32,6.64,29.18,7.72,0.0759,0.333,0.0826,0.623,0.056,-0.123,NA,NA,NA,0.031,6.29,NA,0.598,218.66,149.56,3.73848e+11,2.6208e+10,5.6334e+10
"ACN","Accenture plc","TRADE & SERVICES","SERVICES-BUSINESS SERVICES, NEC",26.75,2.444,6.79,3.005,17.12,2.986,0.114,0.167,0.115,0.268,0.09,0.16,NA,NA,NA,0.0187,5.54,NA,1.239,398.35,275.18,1.99416e+11,11358275000,66361704000
